Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDN40,OUT045,2520.1368931455077
FDB35,OUT027,2615.7719164514965
FDA22,OUT017,2610.205820077839
NCL06,OUT046,4174.589929290185
FDI35,OUT013,3054.766290357133
NCW42,OUT045,3558.9960808529477
NCX06,OUT049,2980.1366372991783
FDC37,OUT027,2897.1312683741235
FDZ14,OUT018,2004.4274764306056
DRG49,OUT049,4067.8467474132385
NCG06,OUT045,4222.630225789341
DRC36,OUT045,2868.9607041712716
FDV21,OUT019,269.9738957382492
FDB53,OUT046,2495.496333789276
DRP47,OUT019,551.9402956456705
FDA14,OUT013,2486.9660289692415
DRC24,OUT035,2520.1368931455077
FDW21,OUT018,1549.0276648595568
NCH29,OUT046,1523.2528989410584
FDU58,OUT013,3099.2656850525054
FDY27,OUT017,2903.215308704933
FDV56,OUT035,1595.9747430802263
FDT59,OUT046,3927.763607469928
FDB23,OUT046,3685.128903820504
FDR49,OUT045,695.5707558570529
FDB03,OUT010,551.9402956456705
FDN39,OUT045,2610.205820077839
FDX02,OUT027,5470.970811322239
FDQ16,OUT027,2897.1312683741235
FDU35,OUT018,1535.9459315270904
NCT29,OUT013,2013.707045742032
FDZ27,OUT046,761.2624061687944
FDN57,OUT017,2086.743342237294
FDA03,OUT018,2492.947863126875
FDZ36,OUT045,3094.6119879254616
NCU05,OUT013,1499.7901442447742
FDT39,OUT018,2497.799301077231
FDK60,OUT017,1520.1619316846184
FDZ25,OUT017,2724.8224276801006
FDG12,OUT046,2001.46682294807
DRB01,OUT019,549.9734696222954
NCC43,OUT027,5471.362603549637
FDX13,OUT019,551.9402956456705
FDM22,OUT049,922.1119881983394
FDJ03,OUT027,791.9370520477968
FDU14,OUT018,4150.492053690938
FDB33,OUT010,398.48302952563847
FDP27,OUT046,3101.191796585948
FDO38,OUT010,194.94510127989662
FDE28,OUT027,5471.362603549637
FDO27,OUT035,1515.4656608063774
DRL23,OUT027,2897.1312683741235
FDS28,OUT046,973.9447256062367
FDX24,OUT013,1536.2701209407026
FDZ02,OUT035,1520.1619316846184
FDL46,OUT045,1941.6117485669183
FDS60,OUT027,4660.718430299694
NCO06,OUT017,630.1124027208227
FDO16,OUT035,1431.3795811563211
FDC60,OUT049,1435.9153287000215
FDA48,OUT018,3490.8862932956067
FDZ36,OUT027,5367.102123313212
FDK27,OUT045,2001.46682294807
FDW23,OUT018,618.9185798909175
FDM14,OUT018,1672.556934464637
FDM14,OUT013,1604.7690427567263
FDW60,OUT018,2901.289197171491
FDE21,OUT013,1946.6782737284498
NCM42,OUT035,1598.3725347317877
FDY59,OUT010,245.82937316383695
DRI49,OUT049,1414.4392245246552
FDT28,OUT019,369.5963594004145
FDQ22,OUT018,628.7391135954335
FDR60,OUT049,1349.7861398814275
FDC50,OUT019,248.8531940242536
FDV24,OUT013,2511.8692438222565
DRF48,OUT010,509.94035966195673
FDQ47,OUT046,687.5102353662996
DRN36,OUT049,1518.1190574561988
NCY06,OUT035,2050.39065266572
FDE52,OUT035,1444.0176366777569
NCB54,OUT045,2035.8207593027391
NCF31,OUT035,2512.135373908781
FDJ08,OUT027,5459.330338499909
NCC07,OUT017,1575.963777297324
NCD19,OUT027,1018.6574420946793
FDL46,OUT049,1978.2061814084548
FDM20,OUT045,4120.112870460755
NCI06,OUT010,416.52809297718085
DRM11,OUT035,4203.670045552874
NCH07,OUT018,2580.9396249597025
FDS23,OUT013,2065.7743350638793
FDO49,OUT018,669.0786321664768
FDS35,OUT049,1101.0367071320957
DRK39,OUT045,1422.3279707395716
DRI39,OUT049,948.9035355114918
FDV04,OUT017,2580.9396249597025
NCN14,OUT035,3092.5322422225413
FDH08,OUT013,3983.8553195896347
FDS20,OUT046,3092.5322422225413
FDV40,OUT049,1233.241930558844
FDZ48,OUT010,266.2634963080846
FDS24,OUT027,2530.4653209085727
FDK44,OUT049,2888.6906069400657
FDS48,OUT045,2495.496333789276
FDK26,OUT010,509.1040848356823
FDD23,OUT045,3101.191796585948
NCH54,OUT017,2601.9717073205193
NCP14,OUT010,261.7042703719071
FDM60,OUT010,244.4714801057614
FDV24,OUT017,2497.799301077231
FDH08,OUT018,3868.4801695694746
FDS12,OUT027,2927.439532559589
FDR39,OUT027,4660.718430299694
FDP12,OUT027,744.8573836371129
DRF60,OUT027,5478.089949449575
FDC09,OUT035,1566.809607500938
FDF50,OUT018,3117.545100021879
FDG28,OUT035,4104.341261618228
NCE19,OUT017,917.571972643155
NCM53,OUT010,264.72932708912145
NCN18,OUT049,1677.4822012758686
FDF32,OUT035,3162.11372319052
FDF11,OUT013,4109.811104007915
DRI59,OUT049,3685.128903820504
NCG54,OUT035,2724.8224276801006
FDM44,OUT046,1561.2498962320353
FDT57,OUT018,4029.379596425648
FDV24,OUT046,2497.799301077231
FDI50,OUT019,551.9402956456705
FDS09,OUT035,701.5210976865842
NCC31,OUT027,4340.125991793463
FDQ07,OUT019,551.9402956456705
FDC22,OUT017,3101.191796585948
FDZ56,OUT046,2724.8224276801006
FDZ40,OUT019,326.50340195833127
FDS46,OUT027,2916.55092262972
DRD24,OUT045,2086.743342237294
FDV45,OUT017,3101.191796585948
FDL26,OUT045,2542.8686879649044
FDA56,OUT018,2004.4274764306056
FDN27,OUT046,1947.8253868085249
FDM20,OUT049,4103.188921610473
FDO16,OUT017,1422.3279707395716
FDL03,OUT035,3110.4232721568337
FDE58,OUT046,1941.6117485669183
FDI02,OUT027,2916.55092262972
NCC55,OUT019,251.3197518588586
FDR03,OUT018,3343.599145828574
FDB14,OUT017,1483.2122597634132
FDR45,OUT013,4113.184402543265
NCN07,OUT017,2055.9571952108827
FDM51,OUT019,258.1772158343297
FDT52,OUT027,5478.089949449575
FDL26,OUT046,2537.1375340604923
NCZ42,OUT046,4091.148091420931
DRI47,OUT019,368.4683172064459
FDW40,OUT013,2102.0985262732374
FDN34,OUT046,2724.8224276801006
FDS01,OUT035,2940.088815075795
NCG55,OUT045,1933.86447577325
FDC11,OUT035,1437.4833352226515
FDX35,OUT018,3716.988489066778
NCB06,OUT046,2589.6263559496983
FDR09,OUT019,551.9402956456705
FDC53,OUT017,1520.1619316846184
FDY45,OUT013,4192.494130236966
FDA22,OUT010,407.0926962634843
FDE02,OUT035,1515.4656608063774
FDW21,OUT045,1551.4993532498954
FDV34,OUT046,1233.8390408476212
FDS59,OUT049,1598.3725347317877
NCW17,OUT017,2050.39065266572
NCK54,OUT046,1941.6117485669183
FDG17,OUT019,551.9402956456705
FDG35,OUT017,2868.9607041712716
FDD08,OUT010,242.68693974796068
NCO07,OUT017,3403.3824116540195
FDJ10,OUT010,276.14030994567247
FDW36,OUT017,1571.3450238873097
FDW21,OUT010,258.1772158343297
FDY19,OUT017,1944.5903368014522
DRE03,OUT013,815.323254184513
NCC55,OUT049,670.6400607116176
FDH52,OUT010,349.02044793801457
FDO09,OUT017,4140.038181769697
FDU43,OUT045,4079.236335290429
FDX09,OUT010,410.1356624137248
FDH40,OUT019,189.8581766112176
FDW58,OUT017,1575.963777297324
FDC47,OUT017,3734.3984578350223
NCR41,OUT035,1514.0557891724613
DRG49,OUT035,4091.69848910105
FDC52,OUT027,4185.765090926641
FDY13,OUT046,1254.111668459629
FDY35,OUT013,778.9002696168972
FDI35,OUT017,3067.1336139283308
NCU18,OUT049,2089.858303479276
FDY33,OUT018,2580.9396249597025
FDC15,OUT027,4530.745451227354
FDU01,OUT049,3097.4996788451363
NCU42,OUT046,2724.8224276801006
NCV29,OUT018,2901.289197171491
NCY30,OUT017,3092.5322422225413
FDQ46,OUT049,1706.4177088712092
FDG58,OUT027,4307.8334960547745
FDK33,OUT017,3403.3824116540195
NCD07,OUT045,1933.86447577325
NCX29,OUT027,3758.6939208909125
NCT42,OUT013,2506.369602672965
DRN59,OUT035,694.6828639826765
FDI44,OUT035,1374.5458235157835
FDA45,OUT049,2922.4652738515147
FDP31,OUT045,1085.4008692827804
FDY01,OUT046,1933.86447577325
FDT09,OUT018,2062.726454864729
DRH03,OUT027,2817.795040145344
FDA36,OUT018,3095.5735673116938
NCF31,OUT017,2523.422331670197
FDG14,OUT049,2497.799301077231
FDG28,OUT027,5478.089949449575
FDU14,OUT049,4200.841764214458
FDY47,OUT019,272.36104955849447
FDI56,OUT049,1456.4965318037941
DRD01,OUT013,1024.7229232976433
FDM22,OUT046,965.0622681290056
FDH33,OUT013,753.4430073296178
DRZ24,OUT013,1979.0576623353688
NCQ38,OUT046,1578.0737979217668
FDO16,OUT027,2456.2129555765523
FDU07,OUT027,4144.579537944512
NCB07,OUT013,3106.726997790087
FDU48,OUT045,2062.726454864729
NCM43,OUT045,2604.4928094599136
FDR31,OUT010,335.5714964324606
DRK49,OUT018,629.4685551475251
NCI30,OUT010,551.9402956456705
DRD60,OUT017,3053.5102060477525
NCG19,OUT046,3954.4714925637313
FDH12,OUT035,1575.963777297324
FDM32,OUT035,1470.430301107046
FDM27,OUT035,2542.8686879649044
NCU53,OUT027,4603.573049019902
NCQ18,OUT046,1538.6459470946234
FDS10,OUT013,2952.327067761811
FDB33,OUT027,4530.745451227354
FDI12,OUT013,1514.5792406289706
NCW42,OUT013,3584.5961795823323
NCC06,OUT018,2050.39065266572
FDW02,OUT017,2015.8315412830952
NCD43,OUT017,1575.963777297324
FDM57,OUT018,1434.4584707021882
FDA58,OUT017,3970.1407675882483
FDK56,OUT046,3094.6119879254616
FDP52,OUT045,3939.4611986315617
FDW20,OUT018,2009.8786255620673
FDS52,OUT049,1546.8327922936096
NCT29,OUT018,1992.3538168181421
NCL54,OUT013,2897.30929572125
FDC05,OUT045,3117.7979772193808
FDF34,OUT035,3115.803857744302
FDP03,OUT027,2927.439532559589
FDD32,OUT010,188.04660751351648
FDZ10,OUT045,2050.39065266572
FDZ40,OUT035,901.137401182467
FDD51,OUT018,629.8515873117752
NCY30,OUT019,411.92804238815086
FDP58,OUT017,3465.951424008211
FDV49,OUT017,4219.312755032346
FDY24,OUT019,312.8129559998182
NCO55,OUT017,1585.3401607574885
FDR13,OUT017,1941.6117485669183
FDS51,OUT017,1017.6494375793485
FDP26,OUT045,1575.963777297324
NCB54,OUT027,2927.439532559589
FDF32,OUT017,3115.803857744302
FDN31,OUT018,3099.2656850525054
DRM48,OUT017,630.1124027208227
FDN20,OUT049,2724.8224276801006
DRL01,OUT046,3951.809680216347
FDV56,OUT049,1585.3401607574885
DRH13,OUT027,2897.1312683741235
FDA03,OUT017,2492.947863126875
FDF47,OUT027,5462.261029315192
FDX32,OUT046,2492.947863126875
FDX57,OUT049,1518.1190574561988
NCA30,OUT045,3101.191796585948
FDO49,OUT013,814.3930563650054
FDL04,OUT019,259.45238502477963
DRM48,OUT035,631.252508336775
FDR16,OUT013,3425.849032678908
NCC19,OUT018,3103.6478840571594
NCE42,OUT045,4044.5009190548335
FDY24,OUT017,914.3780260722664
FDH19,OUT049,2893.7209976808326
FDJ46,OUT013,2870.2167884806527
FDN45,OUT010,551.9402956456705
FDY08,OUT035,2080.945464841446
FDZ37,OUT035,1433.3895872721928
NCT30,OUT045,704.0358791323155
DRY23,OUT018,622.7393050788946
NCZ30,OUT018,2001.46682294807
FDC44,OUT018,1931.2611118871623
FDB45,OUT035,1575.963777297324
FDY04,OUT013,2607.6750053027363
FDM27,OUT046,2580.9396249597025
FDZ43,OUT017,4082.1132479916587
FDT39,OUT019,369.00342359353886
NCC06,OUT019,269.9738957382492
FDL15,OUT027,4307.8334960547745
FDL57,OUT017,4180.447897647752
FDU08,OUT046,1536.5007224380254
FDK40,OUT017,4219.312755032346
FDQ12,OUT010,551.9402956456705
FDS48,OUT017,2497.799301077231
FDP09,OUT045,3403.3824116540195
FDW21,OUT049,1533.5121056097641
FDY25,OUT035,3053.5102060477525
DRE13,OUT017,1434.6214458343115
FDV43,OUT019,254.2563624052854
FDD22,OUT045,1704.0349188291889
FDM46,OUT019,246.29000216021635
NCO30,OUT010,469.0732656484205
FDM25,OUT046,2868.9607041712716
NCN41,OUT049,2004.4274764306056
FDU24,OUT045,1496.7324175457968
FDZ50,OUT046,3092.5322422225413
FDP45,OUT013,4216.517177101924
NCM54,OUT045,2015.8315412830952
FDW10,OUT019,410.1356624137248
FDP20,OUT017,2050.39065266572
FDK32,OUT046,2497.799301077231
FDN52,OUT049,1440.7606139733066
FDM58,OUT045,1677.4822012758686
FDZ46,OUT027,2908.892254805893
NCA18,OUT018,1941.6117485669183
FDD35,OUT046,2001.46682294807
NCK31,OUT035,698.0961589472004
FDI40,OUT027,2892.6100569077116
FDT50,OUT019,253.3440013867549
NCT06,OUT046,2604.4928094599136
FDT31,OUT035,3097.4996788451363
FDT45,OUT049,922.1119881983394
FDT13,OUT045,3097.4996788451363
FDO50,OUT045,1460.5237814630405
NCU18,OUT010,275.4481269665985
NCR54,OUT049,3108.653109323529
NCO18,OUT018,2920.539162318073
FDU09,OUT045,929.5111748818593
FDT13,OUT018,3095.5735673116938
FDE09,OUT046,1706.4177088712092
NCK53,OUT019,258.1772158343297
FDG45,OUT049,3398.6014253472013
DRH15,OUT035,661.858360362767
FDO21,OUT019,551.9402956456705
FDD14,OUT027,5232.598791661213
FDC09,OUT046,1568.9196281253808
FDH45,OUT027,739.5792048559018
FDV32,OUT046,1156.0111481069853
FDG12,OUT035,1983.8393336681186
FDS32,OUT013,2098.983565031256
NCL55,OUT018,4150.492053690938
DRE01,OUT035,4028.865337351786
DRE15,OUT049,1361.3415691399478
NCL42,OUT045,4124.981264994117
FDP31,OUT013,1189.0075066399083
FDN33,OUT018,1511.8367293324575
FDZ59,OUT046,2604.4928094599136
FDE45,OUT010,410.9142472369043
FDJ07,OUT013,1979.0576623353688
FDQ45,OUT018,3092.6858763920195
FDM33,OUT027,5462.261029315192
FDO15,OUT010,274.50662088014457
FDM46,OUT013,1534.1165450586664
FDR03,OUT045,3348.507273986447
FDY49,OUT018,2675.1156607972093
FDQ60,OUT045,1978.2061814084548
FDW10,OUT049,2896.0532114118682
FDO51,OUT049,700.9581619043929
FDJ40,OUT018,1593.2032338558552
FDS20,OUT018,3074.977399372928
FDU45,OUT013,1821.4859154654596
FDV02,OUT035,2724.8224276801006
FDN09,OUT046,4096.2270813438
NCM55,OUT027,5386.28560908888
FDN23,OUT018,2446.1098231580186
FDY31,OUT010,363.12544001055625
FDW03,OUT010,261.7042703719071
FDD14,OUT046,3092.5322422225413
FDV23,OUT017,2015.8315412830952
DRI03,OUT045,2893.7209976808326
FDN13,OUT035,1535.5549798381835
FDF45,OUT027,1067.415587155305
FDU46,OUT035,1437.4833352226515
FDB57,OUT049,3590.1543366542887
FDV12,OUT049,1533.5121056097641
FDQ58,OUT013,2508.6725699609196
NCA18,OUT017,1933.86447577325
FDH52,OUT049,1000.627418730894
FDM24,OUT018,2495.496333789276
NCP43,OUT027,4668.631785634546
NCO18,OUT019,410.1356624137248
FDM32,OUT017,1462.977789119577
NCL07,OUT017,640.9876493286837
FDK03,OUT013,4165.586000494883
FDP59,OUT017,1566.809607500938
FDQ24,OUT049,4168.08121253366
FDQ16,OUT018,1598.3725347317877
FDU44,OUT013,2592.8085517925215
FDH28,OUT010,235.49097771167857
FDV28,OUT019,249.22720983349905
FDM22,OUT045,913.3581044249804
FDR56,OUT046,3110.4232721568337
FDV39,OUT049,3115.803857744302
FDU37,OUT019,184.95627234430515
FDQ11,OUT010,551.9402956456705
FDX02,OUT045,3611.4589335453798
NCS42,OUT018,1488.8001334699586
FDY57,OUT027,2817.795040145344
FDB21,OUT049,4015.246816693631
FDE28,OUT017,3852.0470700148417
FDQ55,OUT017,1931.2611118871623
FDA48,OUT049,3549.16466771595
FDZ19,OUT045,2888.6906069400657
NCC43,OUT045,4128.910661405225
NCV18,OUT046,1463.9503076839399
NCA42,OUT018,2580.9396249597025
FDY45,OUT046,4213.581063948406
NCC30,OUT045,2951.07098345243
FDM57,OUT013,1514.5792406289706
FDL09,OUT010,406.0565106420092
FDB09,OUT027,2927.439532559589
FDT44,OUT035,1978.2061814084548
NCT06,OUT027,4592.476471589407
FDX26,OUT049,3092.5322422225413
FDK32,OUT013,2528.00659217297
DRA12,OUT046,2124.514643713545
FDO46,OUT010,509.94035966195673
FDE52,OUT013,1515.0278764103039
NCH42,OUT045,3936.8127693108636
FDV08,OUT035,654.968627856962
FDB47,OUT018,3394.3858367182906
FDC28,OUT010,266.2634963080846
FDD22,OUT046,1933.86447577325
FDS07,OUT027,2916.55092262972
DRI13,OUT045,3488.6425432359597
FDG32,OUT018,3543.0043438862003
FDU14,OUT017,4204.994041184506
FDD28,OUT019,338.5671525814927
NCP41,OUT017,1598.3725347317877
FDS08,OUT049,2893.7209976808326
FDX47,OUT045,2580.9396249597025
FDC53,OUT019,257.6587094685445
FDQ19,OUT035,4109.108949580852
FDL14,OUT045,2539.149231421951
FDM33,OUT019,551.9402956456705
FDA51,OUT045,1931.2611118871623
FDZ27,OUT018,669.5436656598415
FDT04,OUT046,699.3081382474318
DRC13,OUT049,2012.6062941508342
FDR16,OUT027,5462.261029315192
FDQ03,OUT027,5478.089949449575
FDE38,OUT035,2704.801052658638
DRH23,OUT027,1035.7951074838068
FDT11,OUT019,509.1040848356823
FDD09,OUT035,2951.07098345243
FDR40,OUT045,1423.091586720954
FDX07,OUT017,3092.5322422225413
FDR07,OUT035,1520.1619316846184
FDA51,OUT017,1933.86447577325
FDT59,OUT019,551.9402956456705
FDF20,OUT017,3108.653109323529
FDR13,OUT045,1933.86447577325
FDY26,OUT049,3395.8643926709374
FDW04,OUT017,2053.534112269918
FDK52,OUT017,3755.7125811405376
FDN60,OUT049,2580.9396249597025
FDM09,OUT019,408.5855415524361
FDP46,OUT049,1440.7606139733066
FDB50,OUT019,189.45946122319282
NCQ29,OUT049,4134.18021341213
FDP16,OUT027,5478.089949449575
FDX33,OUT018,2595.0011705403194
FDP07,OUT010,551.9402956456705
FDN22,OUT046,4121.56719095181
FDF39,OUT049,4184.105617769018
FDS21,OUT017,972.5476858103658
NCM42,OUT013,1602.108776610785
FDK50,OUT019,404.44693718727666
DRF13,OUT027,4137.468700181978
FDH35,OUT018,2604.4928094599136
FDP60,OUT018,1535.9459315270904
DRJ49,OUT027,2934.8561074181753
NCT42,OUT019,369.00342359353886
FDE38,OUT049,2704.801052658638
FDI04,OUT049,3119.471211555321
NCH54,OUT045,2580.9396249597025
FDT56,OUT049,951.7767844304873
DRD15,OUT018,3921.2926192103305
FDV58,OUT013,3106.726997790087
FDP21,OUT049,3097.4996788451363
FDH05,OUT013,3906.1268188580275
FDR10,OUT027,4580.723942595836
NCP06,OUT045,2495.496333789276
FDF33,OUT049,1583.819386873004
DRK37,OUT013,3095.5735673116938
DRH49,OUT045,1426.801401144243
FDT58,OUT013,2688.738700383831
FDD41,OUT018,1575.963777297324
FDP40,OUT018,1675.013580019672
FDM51,OUT027,2892.6100569077116
FDO45,OUT010,192.57173077808392
FDW33,OUT010,261.7042703719071
FDY24,OUT045,917.174026790544
FDB10,OUT010,551.9402956456705
FDM40,OUT035,2089.858303479276
NCI06,OUT017,3053.5102060477525
FDW12,OUT019,296.12986007046146
FDX48,OUT027,4350.164350011092
NCW05,OUT027,2897.1312683741235
FDX27,OUT017,1515.4656608063774
DRM37,OUT045,3117.7979772193808
FDA38,OUT045,4105.276243184736
FDR36,OUT046,694.1385586401877
FDZ45,OUT046,3150.7267772113246
FDG05,OUT017,2580.9396249597025
FDK28,OUT013,4188.559650790133
FDV47,OUT045,1435.385061815694
FDN21,OUT045,2589.6263559496983
FDP20,OUT027,2927.439532559589
FDI35,OUT045,3067.1336139283308
DRY23,OUT013,757.3752918076339
FDA56,OUT017,2004.4274764306056
FDB09,OUT013,2019.3250541277594
NCO26,OUT027,2916.55092262972
FDQ49,OUT018,2548.2626353964997
FDI52,OUT027,2927.439532559589
FDZ44,OUT027,2916.55092262972
FDZ09,OUT018,2604.4928094599136
FDY03,OUT049,1931.2611118871623
NCG42,OUT017,2053.534112269918
DRI13,OUT027,5470.970811322239
FDQ32,OUT013,2028.071764077057
FDW16,OUT035,1459.2919229009217
FDU27,OUT046,745.2373373674725
FDR28,OUT010,404.44693718727666
FDQ49,OUT010,398.48302952563847
FDS37,OUT046,1933.86447577325
FDW26,OUT018,3490.8862932956067
FDX12,OUT018,4080.343613888598
NCP06,OUT013,2506.369602672965
FDW45,OUT010,363.12544001055625
NCN30,OUT049,1512.0129149440418
FDN24,OUT049,923.1319098456254
NCL41,OUT027,745.9614515935978
FDR02,OUT019,265.4847236042403
FDD09,OUT010,416.52809297718085
FDS33,OUT010,193.20057247269094
FDU22,OUT045,1992.3538168181421
FDI53,OUT013,2607.6750053027363
DRH01,OUT049,2893.7209976808326
FDX32,OUT013,2136.7548665075064
NCP30,OUT018,628.7391135954335
FDB60,OUT045,3110.4232721568337
FDB14,OUT049,1494.689543317377
NCP02,OUT035,916.2725221782762
FDJ10,OUT017,2086.743342237294
FDG34,OUT046,1675.013580019672
NCB18,OUT017,1441.7836542484008
FDM16,OUT049,1180.170721500579
FDW25,OUT018,1437.4046691440951
FDB35,OUT010,232.18578337598444
DRN11,OUT013,2147.8369019488573
FDF41,OUT019,551.9402956456705
FDH16,OUT045,1445.2494952398756
NCQ50,OUT018,3396.3682728253984
DRH23,OUT018,930.4454231606874
DRJ37,OUT013,2511.8692438222565
DRJ24,OUT027,5351.722619315748
FDY16,OUT035,3092.5322422225413
FDQ27,OUT045,1575.963777297324
FDZ33,OUT045,2495.496333789276
FDF29,OUT045,2062.726454864729
FDA08,OUT049,2604.4928094599136
FDG31,OUT046,1156.9354179453626
FDE34,OUT019,423.4468005454279
NCR30,OUT027,1444.1755818953236
FDV33,OUT035,4228.04234629935
DRZ24,OUT018,1992.3538168181421
NCL54,OUT035,2868.9607041712716
FDR12,OUT049,2868.9607041712716
NCC54,OUT046,4015.246816693631
DRN59,OUT013,810.9797614004816
FDX50,OUT019,266.2634963080846
FDV31,OUT027,4660.718430299694
NCA29,OUT027,4646.072995442101
FDW60,OUT049,2900.7998886596774
FDX08,OUT017,3092.5322422225413
DRD49,OUT013,3981.261741715508
FDD33,OUT046,3880.486632433739
FDW35,OUT013,770.0051676725113
FDJ36,OUT017,1566.809607500938
FDV51,OUT035,2667.8577682896134
FDW36,OUT046,1585.9294074974468
FDH35,OUT046,2604.4928094599136
NCS30,OUT027,2950.6847185765864
FDN49,OUT017,630.1124027208227
FDL08,OUT018,4086.264518005854
FDI09,OUT013,4024.4358172606303
FDP19,OUT018,2053.534112269918
FDU21,OUT010,235.0705870224629
NCP41,OUT045,1585.3401607574885
FDY10,OUT013,1834.1945362141857
FDP12,OUT018,621.0936053968871
NCN26,OUT049,1933.86447577325
FDK44,OUT013,2889.9466912494468
FDC28,OUT049,1598.3725347317877
FDJ41,OUT027,5478.089949449575
NCT29,OUT035,2007.0848313337974
NCH42,OUT019,551.9402956456705
FDU60,OUT018,2682.932824409677
FDS02,OUT045,3108.653109323529
FDC51,OUT046,2004.4274764306056
FDU03,OUT013,3090.6061306890992
FDX39,OUT045,3403.3824116540195
NCY05,OUT010,240.47104039400347
NCL06,OUT027,5478.089949449575
FDD32,OUT035,1394.4994009161137
NCN41,OUT045,2004.4274764306056
NCX53,OUT049,2089.858303479276
FDU57,OUT019,369.00342359353886
FDQ23,OUT046,1573.4550445117525
FDQ52,OUT045,4124.902036122686
FDC14,OUT045,656.4208261098835
FDY09,OUT035,2900.7998886596774
FDQ28,OUT045,2542.8686879649044
FDV25,OUT046,3550.9990390436806
FDJ07,OUT035,1933.86447577325
DRB25,OUT049,1575.963777297324
FDK52,OUT019,551.9402956456705
FDY52,OUT027,1212.056626320027
FDB28,OUT046,3115.803857744302
FDT36,OUT035,632.0125590898584
FDV25,OUT017,3588.5054391975195
NCN07,OUT027,2950.6847185765864
FDC57,OUT017,3108.653109323529
FDQ03,OUT018,3974.416890122966
FDU23,OUT017,2682.932824409677
NCX41,OUT035,3403.3824116540195
NCD06,OUT035,695.5645239989863
FDW08,OUT045,1583.819386873004
NCU29,OUT017,2466.2102974223526
NCE06,OUT013,2595.332767945877
FDV52,OUT010,268.2443775374423
FDB02,OUT017,2896.0532114118682
NCR18,OUT045,665.8756052172946
FDK16,OUT049,1512.0129149440418
NCQ29,OUT010,551.9402956456705
FDZ01,OUT019,259.45238502477963
FDW27,OUT035,2580.9396249597025
FDD17,OUT018,4029.379596425648
FDW39,OUT013,2897.30929572125
DRH59,OUT045,1151.7565591118819
FDS52,OUT013,1572.908053878961
FDU40,OUT027,5459.330338499909
NCF54,OUT013,2870.2167884806527
FDH46,OUT045,1566.809607500938
NCP14,OUT049,1571.3450238873097
FDH50,OUT049,3094.6119879254616
DRF15,OUT010,378.855794743871
FDV27,OUT027,2530.4653209085727
NCJ06,OUT049,1992.3538168181421
FDN02,OUT018,3341.616709721466
FDQ51,OUT049,729.0322733754645
FDQ07,OUT017,3555.6880846446998
FDS45,OUT049,1575.963777297324
NCJ06,OUT045,2001.46682294807
FDD36,OUT035,1941.6117485669183
FDY25,OUT045,3092.5322422225413
FDU52,OUT046,2541.466623304954
DRK47,OUT017,3782.710948656103
NCL30,OUT017,2050.39065266572
FDN22,OUT035,4132.743367801343
NCF30,OUT027,2927.439532559589
FDK03,OUT035,4185.892383413346
FDT45,OUT017,914.6669092731009
NCC54,OUT027,5471.362603549637
FDP08,OUT018,3106.726997790087
FDU44,OUT046,2604.4928094599136
